epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,988.873,0.90211,0.88866,1.30577,0.66118,0.6,0.61142,0.29532,1.70279,1.96295,2.34722,0.0007724,0.0007724,0.0007724
64,1003.97,1.04231,0.9723,1.2626,0.70101,0.6,0.57277,0.30301,1.72569,1.8689,2.38391,0.0007526,0.0007526,0.0007526
65,1019.05,1.02711,1.09567,1.40246,0.71617,0.64,0.59145,0.28986,1.75766,1.79839,2.35673,0.0007328,0.0007328,0.0007328
66,1034.05,1.02862,1.01964,1.33569,0.66466,0.6,0.58399,0.25924,1.79997,1.79278,2.28197,0.000713,0.000713,0.000713
67,1049.41,1.03141,0.93978,1.24209,0.60823,0.55896,0.48494,0.26395,1.78202,1.77409,2.31466,0.0006932,0.0006932,0.0006932
68,1064.68,0.92744,0.83292,1.22582,0.67708,0.5875,0.53106,0.28638,1.77127,1.73205,2.31604,0.0006734,0.0006734,0.0006734
69,1079.66,0.9976,0.87353,1.28081,0.6767,0.6,0.55181,0.29663,1.79833,1.68334,2.31467,0.0006536,0.0006536,0.0006536
70,1094.7,0.97087,0.84623,1.30285,0.84151,0.6373,0.69833,0.3255,1.72829,1.61084,2.22282,0.0006338,0.0006338,0.0006338
71,1109.87,0.9456,0.88114,1.30153,0.81799,0.72,0.75231,0.37611,1.66009,1.5144,2.05611,0.000614,0.000614,0.000614
72,1124.86,0.86846,0.7978,1.21302,0.71305,0.68,0.73972,0.3992,1.58817,1.41311,1.95735,0.0005942,0.0005942,0.0005942
73,1139.81,0.98577,0.85401,1.24662,0.84004,0.68,0.76125,0.41017,1.59456,1.39378,1.98645,0.0005744,0.0005744,0.0005744
74,1154.85,0.88216,0.79735,1.21503,0.68942,0.72,0.69009,0.4077,1.58371,1.3648,1.99664,0.0005546,0.0005546,0.0005546
75,1169.94,0.90434,0.81872,1.28097,0.71539,0.70418,0.68973,0.39271,1.63598,1.37766,2.06011,0.0005348,0.0005348,0.0005348
76,1184.92,0.8899,0.78538,1.24924,0.83328,0.6,0.69613,0.38225,1.6779,1.3636,2.13173,0.000515,0.000515,0.000515
